bay_id,lat,lon,has_restriction_data
56715,-37.818854986469205,144.956985175657,True
16778,-37.81393596620553,144.95750244564618,False
51619,-37.815908054657584,144.96965123731835,True
58012,-37.81773001493447,144.95418519218777,False
53214,-37.81269869482525,144.96255296030284,True
6763,-37.813150856274035,144.96255197840384,True
53224,-37.81288318547357,144.96242908195768,True
53222,-37.812982263201675,144.96247452105328,True
23856,-37.81182574918229,144.95214162638536,True
52318,-37.80922706022584,144.96658484190925,True
54065,-37.81728823580427,144.96162989440703,True
9619,-37.80498451133013,144.9487256132852,True
64137,-37.81661814208146,144.9552603208842,True
8892,-37.80472860023576,144.95983457919806,True
8893,-37.80467526890163,144.9598100707709,True
9598,-37.80470817912803,144.94923768660107,True
9600,-37.80424624874155,144.9493176273665,True
9605,-37.80355520593249,144.94943939339282,True
9611,-37.80387968936999,144.94938219700055,True
9612,-37.803932780008246,144.9493728388618,True
9613,-37.80398653905685,144.94936336418544,True
9625,-37.80496415494934,144.94854345814642,True
52313,-37.80948503669423,144.9667041014812,True
9631,-37.805096996494115,144.94880084548276,True
9634,-37.805087958354314,144.94871661818752,True
9639,-37.805053375847955,144.9484077164504,True
9648,-37.80507230238178,144.94857670798694,True
10707,-37.80562910757838,144.95455722540413,True
10709,-37.8056443268013,144.95469212796456,True
10713,-37.80389373311168,144.95109910273732,True
10716,-37.80375570795519,144.9511235299858,True
10719,-37.80416031637368,144.95105185319318,True
67049,-37.809964822983446,144.96282704636855,False
67054,-37.810061775804314,144.9624817467575,False
67053,-37.810043091401525,144.9625456829915,False
67051,-37.810005718826915,144.96267355535707,False
52315,-37.80938185329829,144.96665640066215,True
67229,-37.81136563262732,144.95801042290748,True
22893,-37.80504657895022,144.96155226512576,True
22879,-37.804687036086804,144.96173229281166,True
22880,-37.8046623351441,144.96173669002383,True
22877,-37.80476492224104,144.96171853872244,True
22315,-37.806393743674285,144.966075180882,True
22344,-37.80641652807154,144.96583221044196,True
22327,-37.80576400385078,144.96618460609042,True
22319,-37.806180980721045,144.96611215145987,True
22321,-37.80607281981847,144.96613095106756,True
22320,-37.80612718204307,144.96612150454922,True
16746,-37.80285502474163,144.96687098883416,True
22415,-37.80639041159406,144.96516745152726,True
22416,-37.80653077721751,144.96514281467523,True
22419,-37.80667360361259,144.96511785359968,True
22431,-37.80646889526538,144.96523046172106,True
66956,-37.80911520221784,144.9657084094328,True
66836,-37.80870551853567,144.96661172128603,True
57218,-37.81365927015733,144.95459882213538,True
57220,-37.81355986032554,144.95455297802664,True
57311,-37.813135120137346,144.9543550292893,True
54130,-37.816401326157404,144.96134293377554,True
63336,-37.81752919296524,144.95577029762285,True
54226,-37.815637286069745,144.96099145074135,True
54245,-37.81580552679101,144.9609445799225,True
54228,-37.81558445424304,144.96096722232483,True
23365,-37.815222016904535,144.96092831329668,True
54248,-37.815645480403646,144.96087041827332,True
54244,-37.81585666180969,144.96096829718877,True
54139,-37.81615960288106,144.9612316737149,True
54135,-37.81627003940035,144.96128235331545,True
54337,-37.81418708917743,144.9603241836145,True
57327,-37.81295734679007,144.95402114690148,True
54335,-37.814261128001256,144.96035819165826,True
54333,-37.814306163364876,144.96037886545093,True
54329,-37.8144249931935,144.9604334680899,True
54324,-37.81456816526176,144.9604991544885,True
54422,-37.81321977572493,144.9600086484636,True
54421,-37.813270555846785,144.96003182896388,True
54419,-37.813369731195095,144.96007705373032,True
54441,-37.813379476509326,144.9599541841302,True
54424,-37.81384760004092,144.96017014817437,True
63349,-37.817781684238135,144.95489497822973,True
63315,-37.81757659693908,144.9553194889391,True
63359,-37.81796339879945,144.9542623065159,True
63344,-37.81768937506971,144.95521511779842,True
53931,-37.81833392755065,144.9622309130329,True
53948,-37.81836934729492,144.96212279568851,True
53926,-37.81847630914179,144.96229607296874,True
53949,-37.8183134106813,144.9620969422225,True
53928,-37.81839907395185,144.96226072406253,True
53950,-37.8182542716343,144.96206932733858,True
53934,-37.81823583353717,144.96218586494632,True
53915,-37.8183352010723,144.96235620749508,True
53920,-37.81806845854699,144.96223400578788,True
53918,-37.81817514263396,144.9622829157367,True
53917,-37.81822848238929,144.96230737028097,True
63348,-37.81776326102175,144.9549589773298,True
63345,-37.81770785128694,144.95515107738171,True
63316,-37.81759365761293,144.9552596352234,True
63341,-37.817631960140055,144.95541409698671,True
63361,-37.81800020752271,144.9541341621802,True
63328,-37.817819867448804,144.9544594584814,True
63335,-37.81751071462992,144.95583433895183,True
63353,-37.81784719018296,144.9546668200337,True
54425,-37.81382423563896,144.96015936545342,True
54427,-37.81377844110391,144.9601382741797,True
54435,-37.81354416575893,144.96003016181191,True
54417,-37.8134969966321,144.960135162915,True
58213,-37.816223948303374,144.95297624708968,True
24682,-37.81407650770325,144.96002484553657,True
64738,-37.81429416557771,144.95927261553263,True
67216,-37.81124426926189,144.9579464896738,True
67231,-37.811405973019575,144.9578711976557,True
55314,-37.81115537146814,144.95748749120327,True
55316,-37.81111058901165,144.9574669364946,True
55315,-37.811133103344815,144.95747725078772,True
55317,-37.811058034453524,144.95744272907837,True
67322,-37.812085652050754,144.9550140022447,True
67324,-37.81212183561699,144.95488565262986,True
67332,-37.81226727791963,144.95437225149678,True
67328,-37.8121945706852,144.95462895258106,True
67334,-37.81230363471879,144.9542439012972,True
67331,-37.81224916076433,144.9544364035221,True
57319,-37.8127273292411,144.95416523391526,True
57310,-37.81318241643244,144.95437718209934,True
57317,-37.8128316126089,144.95421383234896,True
57329,-37.81285802612559,144.95397486293464,True
58211,-37.81632513216525,144.95302271228667,True
54416,-37.81354274368513,144.96015603675647,True
54429,-37.81370642544597,144.96010492990618,True
56912,-37.81697789237569,144.95612358725003,True
54321,-37.81415024868862,144.96043413985802,True
54320,-37.81420358514674,144.96045850918097,True
54634,-37.811582207875794,144.95914220671528,True
54631,-37.811676681158545,144.9591853849827,True
54629,-37.811723924153966,144.95920697367882,True
54628,-37.81174679330102,144.9592174258368,True
54627,-37.81176902703331,144.9592275876551,True
54623,-37.811890062399186,144.95928210413547,True
54617,-37.81141555471598,144.95919110655336,True
54529,-37.8124856734189,144.95955181649907,True
54519,-37.812183699725175,144.95953624823449,True
56925,-37.81694986976067,144.9558616915677,True
56922,-37.81711484049472,144.9559376963074,True
56920,-37.817217334803146,144.9559842619019,True
56928,-37.81679658224592,144.9557915530827,True
56927,-37.81684693601877,144.95581472950056,True
56914,-37.81687779548948,144.95607844612044,True
56913,-37.81692953258536,144.95610179300294,True
