bay_id,slot_num,lat,lon,status,typedesc,fromday,today,starttime,endtime,duration_mins,disabilityext_mins,plain_english,is_active_now,is_strict,rule_category
10731,1.0,-37.80492798408554,144.9509150266006,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10731,2.0,-37.80492798408554,144.9509150266006,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10731,3.0,-37.80492798408554,144.9509150266006,Present,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10731,4.0,-37.80492798408554,144.9509150266006,Present,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10731,5.0,-37.80492798408554,144.9509150266006,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10731,6.0,-37.80492798408554,144.9509150266006,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10746,1.0,-37.8035841184862,144.95091824334895,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10746,2.0,-37.8035841184862,144.95091824334895,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10746,3.0,-37.8035841184862,144.95091824334895,Present,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10746,4.0,-37.8035841184862,144.95091824334895,Present,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10746,5.0,-37.8035841184862,144.95091824334895,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10746,6.0,-37.8035841184862,144.95091824334895,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11178,1.0,-37.8032514892148,144.9481982654575,Absent,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
11178,2.0,-37.8032514892148,144.9481982654575,Absent,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
11178,3.0,-37.8032514892148,144.9481982654575,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11178,4.0,-37.8032514892148,144.9481982654575,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11178,5.0,-37.8032514892148,144.9481982654575,Absent,PP,6,6,07:30,12:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
11178,6.0,-37.8032514892148,144.9481982654575,Absent,PP,1,5,07:30,18:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
11477,1.0,-37.80311893197736,144.95022626642123,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11477,2.0,-37.80311893197736,144.95022626642123,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11479,1.0,-37.80312601550219,144.95028936577094,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11479,2.0,-37.80312601550219,144.95028936577094,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11481,1.0,-37.803142764884264,144.9504386348559,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11481,2.0,-37.803142764884264,144.9504386348559,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11483,1.0,-37.80314956331485,144.9505000417325,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11483,2.0,-37.80314956331485,144.9505000417325,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11484,1.0,-37.80315295405457,144.9505316322474,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11484,2.0,-37.80315295405457,144.9505316322474,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11486,1.0,-37.80316332871014,144.95062779999432,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11486,2.0,-37.80316332871014,144.95062779999432,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11489,1.0,-37.803174333344764,144.9507256492118,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11489,2.0,-37.803174333344764,144.9507256492118,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11491,1.0,-37.80318101888322,144.95078523750246,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11491,2.0,-37.80318101888322,144.95078523750246,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11492,1.0,-37.80318419260959,144.95081336020553,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11492,2.0,-37.80318419260959,144.95081336020553,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11933,1.0,-37.801196468157144,144.95504013951893,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11933,2.0,-37.801196468157144,144.95504013951893,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11933,3.0,-37.801196468157144,144.95504013951893,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11933,4.0,-37.801196468157144,144.95504013951893,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11935,1.0,-37.80104684509336,144.9552288087205,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11935,2.0,-37.80104684509336,144.9552288087205,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11935,3.0,-37.80104684509336,144.9552288087205,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11935,4.0,-37.80104684509336,144.9552288087205,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11936,1.0,-37.80100747331648,144.95527868360097,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11936,2.0,-37.80100747331648,144.95527868360097,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11936,3.0,-37.80100747331648,144.95527868360097,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11936,4.0,-37.80100747331648,144.95527868360097,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
