name,description,lat,lng
Swanston Street between Queensberry Street and Lincoln Square South,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8034158<br>Longitude: 144.9633755<br>Latitude: -37.8034158<br>Longitude: 144.9633755<br>﻿UsageType: Disable Parking,-37.803416,144.963376
Swanston Street between Lincoln Square South and Pelham Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8029546<br>Longitude: 144.9636327<br>Latitude: -37.8029546<br>Longitude: 144.9636327<br>﻿UsageType: Disable Parking,-37.802955,144.963633
Swanston Street between Elgin Street and College Crescent,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7944555<br>Longitude: 144.9650572<br>Latitude: -37.7944555<br>Longitude: 144.9650572<br>﻿UsageType: Disable Parking,-37.794456,144.965057
Swanston Street between Elgin Street and College Crescent,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7943929<br>Longitude: 144.9650679<br>Latitude: -37.7943929<br>Longitude: 144.9650679<br>﻿UsageType: Disable Parking,-37.794393,144.965068
Sutton Street between Boundary Road and Western Link Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7920529<br>Longitude: 144.9386229<br>Latitude: -37.7920529<br>Longitude: 144.9386229<br>﻿UsageType: Disable Parking,-37.792053,144.938623
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8247795<br>Longitude: 144.9670575<br>Latitude: -37.8247795<br>Longitude: 144.9670575<br>﻿UsageType: Disable Parking,-37.82478,144.967058
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8247278<br>Longitude: 144.967073<br>Latitude: -37.8247278<br>Longitude: 144.967073<br>﻿UsageType: Disable Parking,-37.824728,144.967073
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8246752<br>Longitude: 144.9670888<br>Latitude: -37.8246752<br>Longitude: 144.9670888<br>﻿UsageType: Disable Parking,-37.824675,144.967089
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8246226<br>Longitude: 144.9671046<br>Latitude: -37.8246226<br>Longitude: 144.9671046<br>﻿UsageType: Disable Parking,-37.824623,144.967105
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.82457<br>Longitude: 144.9671204<br>Latitude: -37.82457<br>Longitude: 144.9671204<br>﻿UsageType: Disable Parking,-37.82457,144.96712
Sturt Street between Southbank Boulevard and Grant Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8245199<br>Longitude: 144.9671354<br>Latitude: -37.8245199<br>Longitude: 144.9671354<br>﻿UsageType: Disable Parking,-37.82452,144.967135
Sturt Street between Grant Street and Miles Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8269539<br>Longitude: 144.9664015<br>Latitude: -37.8269539<br>Longitude: 144.9664015<br>﻿UsageType: Disable Parking,-37.826954,144.966402
Sturt Street between Grant Street and Miles Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8269013<br>Longitude: 144.9664174<br>Latitude: -37.8269013<br>Longitude: 144.9664174<br>﻿UsageType: Disable Parking,-37.826901,144.966417
Story Street between Benjamin Street and Fitzgibbon Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7969415<br>Longitude: 144.9559828<br>Latitude: -37.7969415<br>Longitude: 144.9559828<br>﻿UsageType: Disable Parking,-37.796942,144.955983
Stawell Street between Ireland Street and Dynon Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8058759<br>Longitude: 144.9424681<br>Latitude: -37.8058759<br>Longitude: 144.9424681<br>﻿UsageType: Disable Parking,-37.805876,144.942468
Station Street between Palmerston Street and Kay Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7962019<br>Longitude: 144.9742679<br>Latitude: -37.7962019<br>Longitude: 144.9742679<br>﻿UsageType: Disable Parking,-37.796202,144.974268
Station Street between Palmerston Street and Kay Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7961459<br>Longitude: 144.9742777<br>Latitude: -37.7961459<br>Longitude: 144.9742777<br>﻿UsageType: Disable Parking,-37.796146,144.974278
Station Street between Palmerston Street and Kay Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7959724<br>Longitude: 144.9743075<br>Latitude: -37.7959724<br>Longitude: 144.9743075<br>﻿UsageType: Disable Parking,-37.795972,144.974308
Station Street between Palmerston Street and Kay Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7955647<br>Longitude: 144.974378<br>Latitude: -37.7955647<br>Longitude: 144.974378<br>﻿UsageType: Disable Parking,-37.795565,144.974378
Stanley Street between King Street and Spencer Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8082829<br>Longitude: 144.9491771<br>Latitude: -37.8082829<br>Longitude: 144.9491771<br>﻿UsageType: Disable Parking,-37.808283,144.949177
Stanley Street between King Street and Spencer Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8077924<br>Longitude: 144.9499829<br>Latitude: -37.8077924<br>Longitude: 144.9499829<br>﻿UsageType: Disable Parking,-37.807792,144.949983
St Kilda Road between Yarra River and Southbank Boulevard,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8208697<br>Longitude: 144.968731<br>Latitude: -37.8208697<br>Longitude: 144.968731<br>﻿UsageType: Disable Parking,-37.82087,144.968731
St Kilda Road between Yarra River and Southbank Boulevard,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8217531<br>Longitude: 144.9691589<br>Latitude: -37.8217531<br>Longitude: 144.9691589<br>﻿UsageType: Disable Parking,-37.821753,144.969159
