bay_id,category,roadsegmentid,parkingzone,street,notes,recovery_method,recovery_distance_m,matched_segment_id,ref_bay_id,recovery_typedesc_slots,manual_review,manual_review_reason
58012,C,20434,,Godfrey Street between Bourke Street and Little Collins Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,62.83,20073,58113,,,
58014,C,20434,,Godfrey Street between Bourke Street and Little Collins Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,53.28,20073,58113,,,
60216,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,6.1,20212,60217,3,,
60820,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,7.5,20121,60840,3,,
60821,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,5.13,20121,7180,3,,
61018,C,20125,,Flinders Lane between Russell Street and Swanston Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,84.65,,,,,
61019,C,20125,,Flinders Lane between Russell Street and Swanston Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,90.17,,,,,
61020,C,20125,,Flinders Lane between Russell Street and Swanston Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,95.8,,,,,
61021,C,20125,,Flinders Lane between Russell Street and Swanston Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,101.52,,,,,
61231,A,,,,kerbside not in static parking_bays export,no_sign_plates_for_reference_parkingzone,31.2,20163,52833,,,
61822,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,35.84,20108,61843,3,,
61823,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,29.72,20108,61843,3,,
63074,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,5.05,20099,63075,3,,
64344,C,20051,,Little Bourke Street between Exhibition Street and Russell Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,73.96,20142,51155,,,
64345,C,20051,,Little Bourke Street between Exhibition Street and Russell Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,79.52,,,,,
64376,C,20051,,Little Bourke Street between Exhibition Street and Russell Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,64.09,20150,52018,,,
64377,C,20051,,Little Bourke Street between Exhibition Street and Russell Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,60.62,20150,52018,,,
65329,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,7.13,20007,65328,8,,
65330,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,13.22,20007,65328,8,,
65331,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,12.17,20007,65333,8,,
65343,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,21.74,20007,65311,8,,
65344,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,22.25,20007,65311,8,,
65357,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,6.79,20007,65356,8,,
65358,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,12.73,20007,65356,8,,
65359,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,11.04,20007,65361,8,,
65360,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,5.13,20007,65361,8,,
65846,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,6.75,20034,65818,5,,
67048,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,155.15,,,,,
67049,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,149.4,,,,,
67050,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,143.73,,,,,
67051,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,135.81,,,,,
67052,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,130.19,,,,,
67053,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,124.6,,,,,
67054,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,119.06,,,,,
67428,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone_borderline_60m,57.28,21506,58611,3,,
67429,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone_borderline_60m,53.96,21506,58611,3,,
6992,C,20178,,William Street between Flinders Street and Flinders Lane,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,71.51,20181,55520,,,
69940,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,25.67,22445,69979,3,,
69941,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,28.03,22445,69979,3,,
69942,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,30.53,22445,69979,3,,
69943,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,33.12,22445,69979,3,,
69944,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,35.64,22445,69979,3,,
69945,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,38.44,22445,69979,3,,
69946,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,41.24,22445,69979,3,,
7484,C,22618,,Intersection of Albert Street and Morrison Place,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,26.66,22619,7852,,,
7849,C,22618,,Intersection of Albert Street and Morrison Place,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,20.69,22619,7852,,,
7850,C,22618,,Intersection of Albert Street and Morrison Place,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,14.73,22619,7852,,,
7851,C,22618,,Intersection of Albert Street and Morrison Place,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,8.79,22619,7852,,,
9443,C,20932,,Intersection of Cobden Street and Princess Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,44.45,20931,9449,,,
9444,C,20932,,Intersection of Cobden Street and Princess Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,41.51,20931,9449,,,
9445,C,20932,,Intersection of Cobden Street and Princess Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,38.56,20931,9449,,,
9448,C,20932,,Intersection of Cobden Street and Princess Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,32.67,20931,9449,,,
