bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
595,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
595,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
2689,1,1P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,60,1 hour,0,,False,,Disability permit holders only — max stay 1 hour. Applies Monday to Sunday 12am to 11:59pm.,True
6224,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,120,2 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 12am to 11:59pm.,True
1031,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,7:30am,1440,24 hours,0,,True,All Other Times,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 12am to 7:30am. Also applies on public holidays.,False
1031,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
1031,3,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
3717,1,1P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7am,6:30pm,60,1 hour,0,,False,,Disability permit holders only — max stay 1 hour. Applies Monday to Sunday 7am to 6:30pm.,True
3285,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 12am to 11:59pm. Also applies on public holidays.,True
1543,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
6465,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 6:30pm.,True
1726,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
