bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
2199,2,2P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
2456,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,8:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30am to 8:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
2456,2,1P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,False
2249,1,Loading Zone 15M,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,7:30pm,15,15 minutes,0,,False,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 7:30pm. Regular parking allowed outside these hours.,True
4566,1,2P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
6617,1,Loading Zone 30M 722,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,30,30 minutes,0,,True,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 6:30pm. Regular parking allowed outside these hours. Also applies on public holidays.,True
2252,1,1/2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,30,30 minutes,60,1 hour,False,,Park for up to 30 minutes on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 1 hour. Free to park outside these hours.,True
2252,2,2P,timed_free,1,6,Monday,Saturday,Monday to Saturday,6:30pm,8:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 6:30pm to 8:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
2657,1,1P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,True
2657,2,1P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,False
7917,1,1P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,10pm,60,1 hour,120,2 hours,True,,Park for up to 1 hour on Monday to Sunday between 7:30am to 10pm. No payment required. Disability permit holders may stay up to 2 hours. Free to park outside these hours. Also applies on public holidays.,True
6233,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
6233,2,2P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
6606,1,Loading Zone 30M 722,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,30,30 minutes,0,,False,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 6:30pm. Regular parking allowed outside these hours.,True
6613,1,Loading Zone 30M,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,30,30 minutes,0,,True,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 6:30pm. Regular parking allowed outside these hours. Also applies on public holidays.,True
6632,1,P 10 Mins,timed_free,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,10,10 minutes,20,20 minutes,True,,Park for up to 10 minutes on Monday to Sunday between 12am to 11:59pm. No payment required. Disability permit holders may stay up to 20 minutes. Free to park outside these hours. Also applies on public holidays.,True
8837,1,Loading Zone 30M,loading,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,30,30 minutes,0,,False,,Loading zone — commercial vehicles only on Monday to Saturday 7:30am to 6:30pm. Regular parking allowed outside these hours.,True
6874,1,4P Ticket A,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,True
6874,2,4P Ticket A,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,False
