RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated,Location
22118,76036,Sturt Street between Miles Street and Coventry Street,-37.8298421,144.9653399,2024-05-06,"-37.8298421, 144.9653399"
22118,76023,Sturt Street between Miles Street and Coventry Street,-37.8291569,144.965556,2024-05-06,"-37.8291569, 144.965556"
22107,,Miles Street between Wells Street and Dodds Street,-37.8285527,144.9678896,2024-04-29,"-37.8285527, 144.9678896"
22476,,St Kilda Road between Armadale Street and Commercial Road,-37.8433109,144.9782346,2023-10-31,"-37.8433109, 144.9782346"
22476,,St Kilda Road between Armadale Street and Commercial Road,-37.842728,144.9780217,2023-10-31,"-37.842728, 144.9780217"
22476,,St Kilda Road between Armadale Street and Commercial Road,-37.8425723,144.9779647,2023-10-31,"-37.8425723, 144.9779647"
20151,52128,Russell Street between Little Bourke Street and Lonsdale Street,-37.8113886,144.9674614,2023-10-31,"-37.8113886, 144.9674614"
20150,52026,Russell Street between Bourke Street and Little Bourke Street,-37.8123193,144.9677641,2023-10-31,"-37.8123193, 144.9677641"
21232,,Abbotsford Street between Canning Street and Erskine Street,-37.7957875,144.9466578,2023-10-31,"-37.7957875, 144.9466578"
21232,,Abbotsford Street between Canning Street and Erskine Street,-37.7956849,144.9466759,2023-10-31,"-37.7956849, 144.9466759"
22516,,Abbotsford Street between Wood Street and Canning Street,-37.797061,144.9466072,2023-10-31,"-37.797061, 144.9466072"
22516,,Abbotsford Street between Wood Street and Canning Street,-37.7972216,144.9465785,2023-10-31,"-37.7972216, 144.9465785"
22516,,Abbotsford Street between Wood Street and Canning Street,-37.7973286,144.9465593,2023-10-31,"-37.7973286, 144.9465593"
20908,,Intersection of Abbotsford Street and Wood Street,-37.7975592,144.9465181,2023-10-31,"-37.7975592, 144.9465181"
21070,,Abbotsford Street between Provost Street and Baillie Street,-37.8014323,144.9456537,2023-10-31,"-37.8014323, 144.9456537"
20003,,Lonsdale Street between Exhibition Street and Russell Street,-37.8104276,144.9682245,2023-10-31,"-37.8104276, 144.9682245"
20049,64248,Little Bourke Street between Spring Street and Exhibition Street,-37.8104864,144.9722391,2023-10-31,"-37.8104864, 144.9722391"
20172,54132,Queen Street between Collins Street and Little Collins Street,-37.8163191,144.961317,2023-11-21,"-37.8163191, 144.961317"
23151,18524,Merchant Street between Bourke Street and Collins Street,-37.8208474,144.9442597,2023-10-31,"-37.8208474, 144.9442597"
22036,,Moray Street between Hancock Street and Westgate Freeway,-37.8279027,144.9609929,2024-05-28,"-37.8279027, 144.9609929"
20445,,Nicholson Place from Little Lonsdale Street,-37.8135113,144.9537666,2024-01-23,"-37.8135113, 144.9537666"
20152,52244,Russell Street between Lonsdale Street and Little Lonsdale Street,-37.8104689,144.9669146,2023-10-31,"-37.8104689, 144.9669146"
23293,17481,Bourke Street between Cumberland Street and Collins Street,-37.8203568,144.9416601,2023-10-31,"-37.8203568, 144.9416601"
23293,17499,Bourke Street between Cumberland Street and Collins Street,-37.8201698,144.9423017,2023-10-31,"-37.8201698, 144.9423017"
23062,20604,Import Lane between Bourke Street and Collins Street,-37.8203825,144.9444922,2023-10-31,"-37.8203825, 144.9444922"
23033,20623,Navigation Drive between Bourke Street and Collins Street,-37.8197939,144.9459156,2023-10-31,"-37.8197939, 144.9459156"
22801,13462,Bourke Street between Harbour Esplanade and Enterprize Way,-37.8193471,144.9454509,2024-04-11,"-37.8193471, 144.9454509"
22801,,Bourke Street between Harbour Esplanade and Enterprize Way,-37.8193843,144.9456361,2023-10-31,"-37.8193843, 144.9456361"
22801,,Bourke Street between Harbour Esplanade and Enterprize Way,-37.8191861,144.9460528,2023-10-31,"-37.8191861, 144.9460528"
22801,,Bourke Street between Harbour Esplanade and Enterprize Way,-37.819178,144.9459911,2023-10-31,"-37.819178, 144.9459911"
22188,,Boathouse Drive between St Kilda Road and Alexandra Avenue,-37.8204675,144.9739471,2023-10-31,"-37.8204675, 144.9739471"
22188,,Boathouse Drive between St Kilda Road and Alexandra Avenue,-37.8198021,144.9725027,2023-10-31,"-37.8198021, 144.9725027"
22188,,Boathouse Drive between St Kilda Road and Alexandra Avenue,-37.8197264,144.9725247,2023-10-31,"-37.8197264, 144.9725247"
22089,,Linlithgow Avenue between St Kilda Road and Government House Drive,-37.8242548,144.9717589,2024-07-17,"-37.8242548, 144.9717589"
22089,,Linlithgow Avenue between St Kilda Road and Government House Drive,-37.8252221,144.9724072,2024-07-17,"-37.8252221, 144.9724072"
22704,,St Kilda Road between Anzac Avenue and Coventry Street,-37.8277284,144.9716348,2024-07-02,"-37.8277284, 144.9716348"
23314,17696,Collins Street between Bourke Street and Sailmaker Way,-37.820765,144.9409325,2023-10-31,"-37.820765, 144.9409325"
23314,17698,Collins Street between Bourke Street and Sailmaker Way,-37.8208069,144.9407831,2023-10-31,"-37.8208069, 144.9407831"
20095,,Little Collins Street between Russell Street and Swanston Street,-37.8138905,144.9682054,2023-10-31,"-37.8138905, 144.9682054"
23267,23378,Saint Mangos Lane North between Docklands Drive and Little Docklands Drive,-37.8133107,144.9408055,2023-10-31,"-37.8133107, 144.9408055"
23267,23381,Saint Mangos Lane North between Docklands Drive and Little Docklands Drive,-37.8131542,144.9407115,2023-10-31,"-37.8131542, 144.9407115"
23267,23382,Saint Mangos Lane North between Docklands Drive and Little Docklands Drive,-37.8131014,144.940679,2023-10-31,"-37.8131014, 144.940679"
20506,,Cardigan Street between Queensberry Street and Argyle Place South,-37.8042345,144.9648267,2024-09-06,"-37.8042345, 144.9648267"
21516,23226,Batman Street between Spencer Street and King Street,-37.8104229,144.9526056,2024-05-06,"-37.8104229, 144.9526056"
20013,,Lonsdale Street between William Street and King Street,-37.8140135,144.9565813,2023-10-31,"-37.8140135, 144.9565813"
20013,,Lonsdale Street between William Street and King Street,-37.8138729,144.9570664,2023-10-31,"-37.8138729, 144.9570664"
22295,,Anderson Street between Domain Road and Acland Street,-37.8338701,144.9837096,2023-10-31,"-37.8338701, 144.9837096"
20212,,Flinders Street between Russell Street and Swanston Street,-37.8169155,144.9696122,2023-10-31,"-37.8169155, 144.9696122"
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7964894,144.9397057,2023-10-31,"-37.7964894, 144.9397057"
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7966881,144.9393644,2023-10-31,"-37.7966881, 144.9393644"
